Lot,Flacon,Purete_Pourcent
Lot_1,Lot_1_F1,85.43
Lot_1,Lot_1_F1,84.17
Lot_1,Lot_1_F1,85.2
Lot_1,Lot_1_F2,85.01
Lot_1,Lot_1_F2,85.13
Lot_1,Lot_1_F2,84.51
Lot_1,Lot_1_F3,84.84
Lot_1,Lot_1_F3,85.18
Lot_1,Lot_1_F3,84.58
Lot_2,Lot_2_F1,84.28
Lot_2,Lot_2_F1,84.7
Lot_2,Lot_2_F1,84.53
Lot_2,Lot_2_F2,84.92
Lot_2,Lot_2_F2,84.79
Lot_2,Lot_2_F2,85.05
Lot_2,Lot_2_F3,84.46
Lot_2,Lot_2_F3,84.44
Lot_2,Lot_2_F3,84.12
Lot_3,Lot_3_F1,85.13
Lot_3,Lot_3_F1,85.06
Lot_3,Lot_3_F1,84.98
Lot_3,Lot_3_F2,82.88
Lot_3,Lot_3_F2,82.9
Lot_3,Lot_3_F2,82.76
Lot_3,Lot_3_F3,84.63
Lot_3,Lot_3_F3,85.07
Lot_3,Lot_3_F3,84.56
