Traitement,Genotype,MDA_nmol_mg_prot
Vehicule,WT,4.13
Vehicule,WT,4.02
Vehicule,WT,3.31
Vehicule,WT,3.77
Vehicule,WT,3.92
Vehicule,db_db,10.43
Vehicule,db_db,10.01
Vehicule,db_db,8.74
Vehicule,db_db,9.99
Vehicule,db_db,9.57
Dose_50mg,WT,3.29
Dose_50mg,WT,4.07
Dose_50mg,WT,4.32
Dose_50mg,WT,4.26
Dose_50mg,WT,3.2
Dose_50mg,db_db,5.41
Dose_50mg,db_db,5.8
Dose_50mg,db_db,6.19
Dose_50mg,db_db,5.31
Dose_50mg,db_db,5.49
Dose_100mg,WT,2.74
Dose_100mg,WT,2.68
Dose_100mg,WT,3.89
Dose_100mg,WT,4.21
Dose_100mg,WT,3.36
Dose_100mg,db_db,4.9
Dose_100mg,db_db,4.52
Dose_100mg,db_db,3.91
Dose_100mg,db_db,4.52
Dose_100mg,db_db,5.22
